error,extraction_rule_id,safir_field_id,mask,definition,ruleset_id
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",11417fe9-6443-4e01-a1cf-fbb77a12689c,RF77,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""77'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",a8a6d77d-a399-4e58-8520-cb41f872ca75,RF78,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""78'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",38a732fe-0231-48ae-a392-549dcfda4977,RF79,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""79'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",6538717b-daa8-49fa-8557-78b253baf515,RFA,CA,"{'""substract'"": [{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""Recettes de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""sum'"": [{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""013'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""70'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""73'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""731'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""74'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""75'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""76'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""77'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""78'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""79'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}]}]}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",e3314b57-9c3a-4d61-995e-c25947825697,RRF,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""Recettes de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",6dccac7a-e673-409f-95cc-2b9ce10f211f,ROF,CA,"{'""extract'"": {'""column'"": '""Opérations d’ordre (2) '"", '""identifiers'"": ['""Recettes de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",5b878e76-181e-4037-b1c0-c0cf3f32b181,R002,CA,"{'""extract'"": {'""column'"": '""Valeur'"", '""identifiers'"": ['""Pour information R 002 Résultat positif reporté'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",7d200e74-5cb1-4f30-a404-6f8cc5430943,RFC,CA,"{'""sum'"": [{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""Recettes de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Opérations d’ordre (2) '"", '""identifiers'"": ['""Recettes de fonctionnement – Total'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}, {'""extract'"": {'""column'"": '""Valeur'"", '""identifiers'"": ['""Pour information R 002 Résultat positif reporté'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}]}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",c6822147-30f6-4b8b-978a-565a0e66d6da,DI10,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""10'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",d272bb99-38e9-4a06-8b67-1669c9a1ebc0,DI13,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""13'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
